id_principal;nombre_principal_en;nombre_principal_es;imagen_principal;id_parte;nombre_parte_en;nombre_parte_es;imagen_parte;id_product;numero_imagen;referencia;nombre_producto_en;nombre_producto_es;descripcion_en;descripcion_es;precio;imagen_producto;stock;id_categoria;id_tax_rules_group
1;"Super Furious RR";"Super Furious RR";;1;"Headlight Assy";"Conjunto de faros";galeriamoto/1/furiousrr125HeadlightAssy.jpg;2276;1;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;2;"Front up";Cupula;galeriamoto/2/furiousrr125Guidecover.jpg;2277;1;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;2;"Front up";Cupula;galeriamoto/2/furiousrr125Guidecover.jpg;2278;2;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;2;"Front up";Cupula;galeriamoto/2/furiousrr125Guidecover.jpg;2279;3;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;2;"Front up";Cupula;galeriamoto/2/furiousrr125Guidecover.jpg;2280;4;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;2;"Front up";Cupula;galeriamoto/2/furiousrr125Guidecover.jpg;2281;5;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;2;"Front up";Cupula;galeriamoto/2/furiousrr125Guidecover.jpg;2282;6;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;2;"Front up";Cupula;galeriamoto/2/furiousrr125Guidecover.jpg;2283;7;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;2;"Front up";Cupula;galeriamoto/2/furiousrr125Guidecover.jpg;2284;8;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;3;Meters;"Cuadro instrumentacion";galeriamoto/3/furiousrr125Meters.jpg;2286;1;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;3;Meters;"Cuadro instrumentacion";galeriamoto/3/furiousrr125Meters.jpg;2287;2;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;3;Meters;"Cuadro instrumentacion";galeriamoto/3/furiousrr125Meters.jpg;2288;4;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;3;Meters;"Cuadro instrumentacion";galeriamoto/3/furiousrr125Meters.jpg;2289;5;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;3;Meters;"Cuadro instrumentacion";galeriamoto/3/furiousrr125Meters.jpg;2290;8;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;3;Meters;"Cuadro instrumentacion";galeriamoto/3/furiousrr125Meters.jpg;2291;9;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;3;Meters;"Cuadro instrumentacion";galeriamoto/3/furiousrr125Meters.jpg;2292;10;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;4;Handlebars;"Semi manillares";galeriamoto/4/furiousrr125Handlebars.jpg;2293;1;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;4;Handlebars;"Semi manillares";galeriamoto/4/furiousrr125Handlebars.jpg;2294;4;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;4;Handlebars;"Semi manillares";galeriamoto/4/furiousrr125Handlebars.jpg;2295;5;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;4;Handlebars;"Semi manillares";galeriamoto/4/furiousrr125Handlebars.jpg;2296;6;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;4;Handlebars;"Semi manillares";galeriamoto/4/furiousrr125Handlebars.jpg;2297;7;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;4;Handlebars;"Semi manillares";galeriamoto/4/furiousrr125Handlebars.jpg;2298;8;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;4;Handlebars;"Semi manillares";galeriamoto/4/furiousrr125Handlebars.jpg;2299;9;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;4;Handlebars;"Semi manillares";galeriamoto/4/furiousrr125Handlebars.jpg;2300;10;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;4;Handlebars;"Semi manillares";galeriamoto/4/furiousrr125Handlebars.jpg;2301;11;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;4;Handlebars;"Semi manillares";galeriamoto/4/furiousrr125Handlebars.jpg;2302;13;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;4;Handlebars;"Semi manillares";galeriamoto/4/furiousrr125Handlebars.jpg;2303;14;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;4;Handlebars;"Semi manillares";galeriamoto/4/furiousrr125Handlebars.jpg;2304;15;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;4;Handlebars;"Semi manillares";galeriamoto/4/furiousrr125Handlebars.jpg;2305;16;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;4;Handlebars;"Semi manillares";galeriamoto/4/furiousrr125Handlebars.jpg;2306;17;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;4;Handlebars;"Semi manillares";galeriamoto/4/furiousrr125Handlebars.jpg;2307;19;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;5;"Front Brake Master Cylinder";"Freno delantero";galeriamoto/5/FrontBrakeMasterCilynder.jpg;2308;1;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;5;"Front Brake Master Cylinder";"Freno delantero";galeriamoto/5/FrontBrakeMasterCilynder.jpg;2309;2;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;5;"Front Brake Master Cylinder";"Freno delantero";galeriamoto/5/FrontBrakeMasterCilynder.jpg;2310;3;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;5;"Front Brake Master Cylinder";"Freno delantero";galeriamoto/5/FrontBrakeMasterCilynder.jpg;2311;4;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;5;"Front Brake Master Cylinder";"Freno delantero";galeriamoto/5/FrontBrakeMasterCilynder.jpg;2312;7;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;6;"Front Fender";"Guardabarros delantero";galeriamoto/6/furiousrr125FrontFender.jpg;2316;1;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;6;"Front Fender";"Guardabarros delantero";galeriamoto/6/furiousrr125FrontFender.jpg;2317;2;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;6;"Front Fender";"Guardabarros delantero";galeriamoto/6/furiousrr125FrontFender.jpg;2318;3;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;6;"Front Fender";"Guardabarros delantero";galeriamoto/6/furiousrr125FrontFender.jpg;2319;6;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;6;"Front Fender";"Guardabarros delantero";galeriamoto/6/furiousrr125FrontFender.jpg;2320;7;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;6;"Front Fender";"Guardabarros delantero";galeriamoto/6/furiousrr125FrontFender.jpg;2321;8;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;6;"Front Fender";"Guardabarros delantero";galeriamoto/6/furiousrr125FrontFender.jpg;2322;11;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;6;"Front Fender";"Guardabarros delantero";galeriamoto/6/furiousrr125FrontFender.jpg;2323;12;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;7;"Front Shock Absorber Steering Stem";Horquillas;galeriamoto/7/FrontShockAbsorverSteerinSterm.jpg;2324;1;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;7;"Front Shock Absorber Steering Stem";Horquillas;galeriamoto/7/FrontShockAbsorverSteerinSterm.jpg;2325;2;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;7;"Front Shock Absorber Steering Stem";Horquillas;galeriamoto/7/FrontShockAbsorverSteerinSterm.jpg;2326;3;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;7;"Front Shock Absorber Steering Stem";Horquillas;galeriamoto/7/FrontShockAbsorverSteerinSterm.jpg;2327;4;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;7;"Front Shock Absorber Steering Stem";Horquillas;galeriamoto/7/FrontShockAbsorverSteerinSterm.jpg;2328;5;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;7;"Front Shock Absorber Steering Stem";Horquillas;galeriamoto/7/FrontShockAbsorverSteerinSterm.jpg;2329;7;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;7;"Front Shock Absorber Steering Stem";Horquillas;galeriamoto/7/FrontShockAbsorverSteerinSterm.jpg;2330;8;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;7;"Front Shock Absorber Steering Stem";Horquillas;galeriamoto/7/FrontShockAbsorverSteerinSterm.jpg;2331;9;;;;;;;;;;
1;"Super Furious RR";"Super Furious RR";;7;"Front Shock Absorber Steering Stem";Horquillas;galeriamoto/7/FrontShockAbsorverSteerinSterm.jpg;2332;10;;;;;;;;;;
